_id,CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2,year
106,413100,3357.0,221.0,184.0,1749.0,91.0,79.0,1608.0,130.0,105.0,2016.0
107,413201,2010.0,134.0,98.0,1055.0,52.0,39.0,955.0,82.0,59.0,2016.0
108,413202,1463.0,95.0,67.0,788.0,55.0,38.0,675.0,40.0,29.0,2016.0
109,413300,2732.0,221.0,158.0,1448.0,102.0,74.0,1284.0,119.0,84.0,2016.0
110,413400,2541.0,173.0,134.0,1340.0,68.0,54.0,1201.0,105.0,80.0,2016.0
111,413500,2910.0,246.0,182.0,1577.0,122.0,92.0,1333.0,124.0,90.0,2016.0
112,414101,3270.0,193.0,149.0,1717.0,92.0,73.0,1553.0,101.0,76.0,2016.0
113,414102,4081.0,305.0,227.0,2149.0,138.0,109.0,1932.0,167.0,118.0,2016.0
114,414200,3412.0,218.0,155.0,1757.0,98.0,73.0,1655.0,120.0,82.0,2016.0
115,415001,2676.0,197.0,140.0,1345.0,88.0,64.0,1331.0,109.0,76.0,2016.0
116,415002,1532.0,105.0,80.0,797.0,51.0,38.0,735.0,54.0,42.0,2016.0
117,416000,843.0,95.0,65.0,450.0,48.0,34.0,393.0,47.0,31.0,2016.0
118,417100,1166.0,112.0,85.0,619.0,57.0,42.0,547.0,55.0,43.0,2016.0
119,417200,697.0,88.0,65.0,368.0,45.0,34.0,329.0,43.0,31.0,2016.0
120,418000,991.0,108.0,81.0,555.0,56.0,49.0,436.0,52.0,32.0,2016.0
121,419000,1613.0,180.0,116.0,883.0,97.0,54.0,730.0,83.0,62.0,2016.0
122,420000,781.0,86.0,62.0,461.0,52.0,36.0,320.0,34.0,26.0,2016.0
123,421100,2819.0,168.0,130.0,1469.0,75.0,53.0,1350.0,93.0,77.0,2016.0
124,421200,2785.0,171.0,125.0,1463.0,70.0,54.0,1322.0,101.0,71.0,2016.0
125,422000,3382.0,137.0,116.0,1725.0,46.0,37.0,1657.0,91.0,79.0,2016.0
126,423000,1352.0,77.0,54.0,767.0,48.0,34.0,585.0,29.0,20.0,2016.0
127,424000,1985.0,195.0,150.0,1118.0,114.0,89.0,867.0,81.0,61.0,2016.0
128,425000,2075.0,171.0,127.0,1139.0,80.0,59.0,936.0,91.0,68.0,2016.0
129,426300,3645.0,295.0,210.0,1983.0,139.0,89.0,1662.0,156.0,121.0,2016.0
130,426400,2573.0,229.0,177.0,1406.0,123.0,99.0,1167.0,106.0,78.0,2016.0
131,426700,1304.0,146.0,105.0,696.0,68.0,46.0,608.0,78.0,59.0,2016.0
132,426800,3184.0,275.0,206.0,1695.0,125.0,95.0,1489.0,150.0,111.0,2016.0
133,427000,1840.0,165.0,121.0,1005.0,82.0,58.0,835.0,83.0,63.0,2016.0
134,427100,3330.0,275.0,198.0,1758.0,119.0,96.0,1572.0,156.0,102.0,2016.0
